,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
869557,A-3592854,3,2020-03-22 14:55:38,2020-03-22 15:23:09,29.78508,-95.64636,29.78512,-95.65611,0.585,At Park Ten Blvd/Exit 750 - Accident.,0.0,I-10 W,R,Houston,Harris,TX,77094,US,US/Central,KSGR,2020-03-22 14:53:00,77.0,77.0,82.0,29.97,10.0,SE,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
857029,A-3580318,3,2020-03-15 07:35:47,2020-03-15 08:04:58,32.92348,-96.75969,32.92192,-96.75393,0.351,Ramp to TX-5/Greenville Ave/Exit 18 - Accident.,8254.0, Lyndon B Johnson Fwy,R,Dallas,Dallas,TX,75243-1130,US,US/Central,KADS,2020-03-15 06:47:00,54.0,54.0,88.0,29.62,3.0,N,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
885760,A-3609060,3,2020-03-30 09:24:08,2020-03-30 09:39:08,29.41717,-98.50243,29.41717,-98.50243,0.0,At TX-536-SPUR/Exit 155 - Accident.,0.0,I-35 S,R,San Antonio,Bexar,TX,78204,US,US/Central,KSSF,2020-03-30 09:53:00,65.0,65.0,87.0,29.35,10.0,E,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1003095,A-3726422,3,2020-02-14 10:00:59,2020-02-14 10:30:47,29.784566,-95.368863,29.784566,-95.368863,0.0,At Main St/Exit 49 - Accident.,0.0,I-45 N,R,Houston,Harris,TX,77009,US,US/Central,KMCJ,2020-02-14 09:53:00,48.0,42.0,56.0,30.39,10.0,E,14.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
867170,A-3590466,3,2020-03-20 13:50:22,2020-03-20 14:55:20,31.7775,-106.42835,31.7775,-106.42835,0.0,At Raynolds St/Exit 23A - Accident.,0.0,US-180 W,R,El Paso,El Paso,TX,79903,US,US/Mountain,KELP,2020-03-20 13:41:00,63.0,63.0,32.0,26.28,10.0,E,15.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
872427,A-3595724,3,2020-03-23 12:24:08,2020-03-23 13:09:08,29.71136,-95.20956,29.71136,-95.20956,0.0,At Shaver St/Main St - Accident. Right lane blocked. Lost load.,0.0,W Pasadena Fwy W,R,Pasadena,Harris,TX,77506,US,US/Central,KHOU,2020-03-23 12:53:00,83.0,83.0,60.0,30.02,10.0,S,12.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
1020600,A-3743938,3,2020-01-02 22:24:32,2020-01-02 22:53:51,29.66504,-95.5536,29.65831,-95.56087,0.638,Between Beltway 8/Sam Houston Tollway and Kirkwood Rd/Airport Blvd - Accident.,0.0,I-69 N,R,Houston,Harris,TX,77074,US,US/Central,KMCJ,2020-01-02 22:53:00,60.0,60.0,93.0,29.67,10.0,SSW,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
877258,A-3600555,2,2020-03-25 16:27:44,2020-03-25 16:57:44,30.09003,-97.73456,30.09003,-97.73456,0.0,At US-183 - Accident.,12300.0, FM 1625,R,Creedmoor,Travis,TX,78610-4855,US,US/Central,KAUS,2020-03-25 16:53:00,88.0,88.0,48.0,29.26,10.0,S,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
960574,A-3683901,3,2020-01-13 13:43:45,2020-01-13 14:13:44,29.66369,-95.02912,29.66744,-95.02921,0.259,At TX-146-BR/Main St/Spencer Hwy - Accident. Two lanes blocked.,0.0,TX-146 N,R,La Porte,Harris,TX,77571,US,US/Central,KEFD,2020-01-13 13:50:00,61.0,61.0,88.0,30.09,4.0,ENE,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
872461,A-3595758,4,2020-03-23 15:48:07,2020-03-23 16:28:06,29.86534,-97.94349,29.87763,-97.9279,1.262,Closed between FM-3407/Wonder World Dr/Exit 202 and RR-12/TX-80/Exit 205 - Road closed due to accident.,0.0,Trooper Randall Wade Vetter Memorial Hwy,R,San Marcos,Hays,TX,78666,US,US/Central,KHYI,2020-03-23 15:43:00,82.0,82.0,66.0,29.32,10.0,SSW,9.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
879195,A-3602493,4,2020-03-26 08:54:30,2020-03-26 09:09:30,33.21906,-96.88027,33.21906,-96.88027,0.0,Closed at FM-423/Gee Rd - Road closed due to accident.,0.0,W University Dr,R,Little Elm,Denton,TX,75068,US,US/Central,KDTO,2020-03-26 08:53:00,70.0,70.0,84.0,29.13,7.0,S,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
1009103,A-3732430,2,2020-02-19 14:55:34,2020-02-19 15:24:26,32.79018,-96.79253,32.77478,-96.7788,1.33,Between TX-366/Exit 1 and I-30/I-45/Exit 284 - Accident. Lane blocked.,770.0, N Central Expy,L,Dallas,Dallas,TX,75201,US,US/Central,KDAL,2020-02-19 14:53:00,49.0,46.0,69.0,29.73,10.0,VAR,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1000101,A-3723428,2,2020-02-12 07:16:39,2020-02-12 07:44:39,32.76732,-96.77675,32.76933,-96.77743,0.144,At M L K Jr Blvd/Exit 283 - Accident.,0.0,I-45 N,R,Dallas,Dallas,TX,75215,US,US/Central,KDAL,2020-02-12 06:53:00,43.0,36.0,93.0,29.37,2.0,N,13.0,0.28,Heavy Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
851453,A-3574740,3,2020-03-11 11:06:01,2020-03-11 11:34:05,29.78506,-95.69097,29.78525,-95.70271,0.704,At Barker Cypress Rd/Exit 748 - Accident. Two lanes blocked.,0.0,I-10 W,R,Houston,Harris,TX,77094,US,US/Central,KSGR,2020-03-11 10:53:00,71.0,71.0,81.0,30.07,10.0,SSW,10.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
981057,A-3704384,3,2020-01-28 07:19:05,2020-01-28 07:47:24,29.81318,-95.33532,29.80215,-95.34002,0.813,At I-610 (North) - Accident.,0.0,US-59 S,R,Houston,Harris,TX,77026,US,US/Central,KMCJ,2020-01-28 07:42:00,56.0,56.0,87.0,29.96,8.0,NNE,12.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
975858,A-3699185,2,2020-01-24 13:52:28,2020-01-24 14:20:02,29.71538,-95.593349,29.71538,-95.593349,0.0,At Dairy Ashford Rd - Accident.,0.0,Westpark Tollway W,R,Houston,Harris,TX,77082,US,US/Central,KSGR,2020-01-24 13:53:00,66.0,66.0,40.0,30.04,10.0,NNW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
866735,A-3590030,3,2020-03-20 17:16:18,2020-03-20 17:46:18,32.76454,-96.91165,32.76454,-96.91165,0.0,Ramp to TX-12-loop - Accident. Two lanes blocked.,0.0,Tom Landry Fwy,R,Dallas,Dallas,TX,75212,US,US/Central,KDAL,2020-03-20 17:04:00,54.0,54.0,59.0,29.82,10.0,NNW,13.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
885814,A-3609114,3,2020-03-30 14:24:54,2020-03-30 15:24:54,32.65689,-96.88434,32.65689,-96.88434,0.0,At US-67/Exit 464 - Accident. Left lane blocked.,7406.0, S Westmoreland Rd,L,Dallas,Dallas,TX,75237-3308,US,US/Central,KRBD,2020-03-30 14:53:00,56.0,56.0,84.0,29.2,10.0,ESE,14.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
948470,A-3671789,4,2020-03-02 12:36:01,2020-03-02 13:05:37,26.19073,-98.11902,26.18732,-98.09428,1.552,Closed between FM-907 and FM-1423/Valverde Rd - Road closed due to accident.,0.0,I-2 E,R,Alamo,Hidalgo,TX,78516,US,US/Central,KMFE,2020-03-02 12:53:00,87.0,87.0,48.0,29.64,10.0,SE,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
953057,A-3676384,3,2020-01-07 08:42:36,2020-01-07 09:11:36,29.81327,-95.35242,29.8141,-95.35722,0.293,At Hardy Toll Rd/Hardy St/Exit 19 - Accident. Two lanes blocked.,0.0,I-610 W,R,Houston,Harris,TX,77009,US,US/Central,KMCJ,2020-01-07 08:53:00,53.0,53.0,47.0,30.38,10.0,N,12.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
885755,A-3609055,4,2020-03-30 08:57:13,2020-03-30 09:42:13,29.99233,-95.42433,30.01525,-95.42808,1.599,Closed between Airtex Dr/Exit 63 and FM-1960/NB Exit 66/SB Exit 64 - Road closed due to accident.,0.0,I-45 N,R,Houston,Harris,TX,77090,US,US/Central,KDWH,2020-03-30 08:53:00,64.0,64.0,75.0,29.88,9.0,E,7.0,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
863830,A-3587124,4,2020-03-19 21:07:50,2020-03-19 21:22:50,32.92557,-96.80442,32.92557,-96.80442,0.0,At I-635 - Accident. Three lanes blocked.,0.0,LBJ Express,R,Dallas,Dallas,TX,75240,US,US/Central,KADS,2020-03-19 20:47:00,64.0,64.0,83.0,29.28,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
953062,A-3676389,3,2020-01-07 10:56:04,2020-01-07 11:25:21,32.85392,-96.64543,32.85813,-96.65189,0.475,At Centerville/Ferguson Rd/Exit 11 - Accident. Two lanes blocked.,0.0,LBJ Fwy W,R,Dallas,Dallas,TX,75228,US,US/Central,KDAL,2020-01-07 10:53:00,53.0,53.0,32.0,29.91,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1023602,A-3746940,2,2020-01-05 08:28:17,2020-01-05 08:58:11,32.75508,-97.31928,32.75807,-97.31847,0.212,At TX-280-spur - Accident.,0.0,I-35W N,R,Fort Worth,Tarrant,TX,76102,US,US/Central,KFTW,2020-01-05 08:53:00,51.0,51.0,50.0,29.48,10.0,SSW,10.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
882779,A-3606079,2,2020-03-28 01:02:52,2020-03-28 01:37:50,29.4184,-98.51441,29.4184,-98.51441,0.0,At Frio City Rd - Accident.,1299.0, Guadalupe St,R,San Antonio,Bexar,TX,78207-5518,US,US/Central,KSKF,2020-03-28 00:56:00,74.0,74.0,82.0,28.99,10.0,E,8.0,0.0,Mostly Cloudy,True,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
965096,A-3688423,3,2020-01-16 06:35:26,2020-01-16 07:05:12,32.87369,-96.77034,32.86123,-96.77041,0.861,At TX-12-LOOP/Northwest Hwy/Exit 5 - Accident.,0.0,US-75 S,R,Dallas,Dallas,TX,75231,US,US/Central,KDAL,2020-01-16 06:32:00,51.0,51.0,89.0,29.81,4.0,N,10.0,0.33,Light Rain with Thunder,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
986017,A-3709344,3,2020-02-01 08:40:03,2020-02-01 09:08:46,32.76899,-96.91521,32.76059,-96.91699,0.59,At I-30 - Accident.,0.0,Loop 12 S,R,Dallas,Dallas,TX,75212,US,US/Central,KDAL,2020-02-01 08:53:00,44.0,44.0,68.0,29.7,10.0,W,3.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
956841,A-3680168,3,2020-01-10 07:06:55,2020-01-10 07:36:34,32.8171,-96.86826,32.82106,-96.87002,0.292,At Mockingbird Ln - Accident.,0.0,Stemmons Fwy N,R,Dallas,Dallas,TX,75247,US,US/Central,KDAL,2020-01-10 06:53:00,67.0,67.0,84.0,29.33,10.0,SE,13.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
960568,A-3683895,3,2020-01-13 12:42:12,2020-01-13 13:11:49,29.81408,-95.38867,29.81396,-95.39358,0.294,At Main St/Exit 16 - Accident. Two lanes blocked.,0.0,I-610 W,R,Houston,Harris,TX,77009,US,US/Central,KMCJ,2020-01-13 12:33:00,61.0,61.0,87.0,30.12,3.0,E,12.0,0.02,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1019656,A-3742994,3,2020-01-01 23:17:47,2020-01-01 23:46:19,29.77676,-95.45598,29.77676,-95.45598,0.0,At Memorial Dr - Accident.,0.0,I-610 S,R,Houston,Harris,TX,77024,US,US/Central,KMCJ,2020-01-01 22:53:00,60.0,60.0,90.0,29.78,8.0,SE,10.0,0.04,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
845472,A-3568755,3,2020-03-06 10:19:33,2020-03-06 10:48:46,29.51495,-98.55327,29.52311,-98.55566,0.582,At Medical Dr - Accident.,0.0,US-87 N,R,San Antonio,Bexar,TX,78230,US,US/Central,KSAT,2020-03-06 09:51:00,62.0,62.0,24.0,29.66,10.0,ENE,17.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
983606,A-3706933,3,2020-01-30 07:57:22,2020-01-30 08:26:16,32.86984,-96.67147,32.86693,-96.66617,0.367,Between TX-78/Garland Rd/Exit 12 and Northwest Hwy/Exit 11 - Accident. Two lanes blocked.,0.0,I-635 E,R,Dallas,Dallas,TX,75218,US,US/Central,KDAL,2020-01-30 07:53:00,40.0,40.0,83.0,29.62,6.0,N,3.0,0.0,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1000108,A-3723435,2,2020-02-12 07:44:28,2020-02-12 08:11:21,29.81132,-95.33528,29.80906,-95.33912,0.278,Ramp to I-69/Exit 20 - Accident.,0.0,US-59 S,R,Houston,Harris,TX,77026,US,US/Central,KMCJ,2020-02-12 07:53:00,61.0,61.0,90.0,29.78,0.25,W,13.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1016546,A-3739878,3,2020-02-26 08:22:35,2020-02-26 08:51:40,29.90804,-95.31041,29.90191,-95.3121,0.435,At Aldine Mail Rd - Accident.,0.0,US-59 S,R,Houston,Harris,TX,77039,US,US/Central,KIAH,2020-02-26 07:53:00,46.0,39.0,54.0,30.22,10.0,NW,16.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
884081,A-3607381,3,2020-03-29 14:18:45,2020-03-29 14:33:45,32.77742,-96.78339,32.77742,-96.78339,0.0,Ramp to I-30 Eastbound - Accident. Right lane blocked.,0.0,R L Thornton Fwy E,R,Dallas,Dallas,TX,75226,US,US/Central,KDAL,2020-03-29 13:53:00,68.0,68.0,35.0,29.65,10.0,ESE,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
869715,A-3593012,1,2020-03-22 15:13:33,2020-03-22 16:13:33,31.75608,-106.2741,31.75608,-106.2741,0.0,At Vista Del Sol Dr - Accident.,1801.0, N Zaragoza Rd,R,El Paso,El Paso,TX,79936-7912,US,US/Mountain,KELP,2020-03-22 15:42:00,72.0,72.0,13.0,26.15,10.0,WSW,14.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
879316,A-3602614,4,2020-03-26 19:52:37,2020-03-26 20:21:24,29.79565,-95.45082,29.80604,-95.44569,0.781,Closed at US-290/18th St/Exit 12/Exit 13 - Road closed due to accident.,0.0,Northwest Fwy W,R,Houston,Harris,TX,77092,US,US/Central,KMCJ,2020-03-26 19:53:00,77.0,77.0,76.0,29.76,10.0,S,18.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
863831,A-3587125,3,2020-03-19 21:47:00,2020-03-19 22:02:00,32.65941,-96.82311,32.65941,-96.82311,0.0,At Wheatland Rd - Accident. Two lanes blocked.,0.0,US-77 S,R,Dallas,Dallas,TX,75232,US,US/Central,KRBD,2020-03-19 21:53:00,66.0,66.0,87.0,29.26,10.0,S,9.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
875324,A-3598621,1,2020-03-24 10:14:04,2020-03-24 10:59:04,31.7462,-106.36749,31.7462,-106.36749,0.0,At FM-76/North Loop Dr - Accident.,500.0, Hunter Dr,R,El Paso,El Paso,TX,79915-1910,US,US/Mountain,KELP,2020-03-24 10:42:00,63.0,63.0,24.0,26.22,10.0,NW,14.0,0.0,Fair,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1004400,A-3727727,3,2020-02-15 14:24:47,2020-02-15 14:52:51,32.97446,-96.71684,32.96168,-96.72685,1.057,At Campbell Rd - Accident.,0.0,US-75 S,R,Richardson,Dallas,TX,75080,US,US/Central,KADS,2020-02-15 14:47:00,63.0,63.0,52.0,29.37,10.0,S,13.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1004404,A-3727731,4,2020-02-15 23:36:02,2020-02-16 00:05:42,29.44582,-95.07422,29.47232,-95.09554,2.236,Closed between Hughes Rd and FM-646/Exit 20 - Road closed due to accident. Construction work.,0.0,I-45 N,R,Dickinson,Galveston,TX,77539,US,US/Central,KLVJ,2020-02-15 23:53:00,62.0,62.0,86.0,30.06,5.0,CALM,0.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
1000095,A-3723422,3,2020-02-12 06:51:06,2020-02-12 07:19:39,32.77087,-96.777934,32.77087,-96.777934,0.0,At US-75 - Accident. Two lanes blocked.,0.0,I-45 N,R,Dallas,Dallas,TX,75215,US,US/Central,KDAL,2020-02-12 06:53:00,43.0,36.0,93.0,29.37,2.0,N,13.0,0.28,Heavy Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day
877544,A-3600841,1,2020-03-25 13:55:11,2020-03-25 14:45:09,31.73508,-106.33374,31.73508,-106.33374,0.0,At FM-76/North Loop Dr - Accident.,999.0, Lomaland Dr,L,El Paso,El Paso,TX,79907-2436,US,US/Mountain,KELP,2020-03-25 13:41:00,77.0,77.0,12.0,26.1,10.0,SW,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
872370,A-3595667,2,2020-03-23 07:05:06,2020-03-23 07:20:06,32.66586,-97.24074,32.66586,-97.24074,0.0,At I-20/I-820 Eastern Split - Accident.,0.0,I-20 E,R,Fort Worth,Tarrant,TX,76140,US,US/Central,KFWS,2020-03-23 06:46:00,61.0,61.0,100.0,29.3,0.5,CALM,0.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
879164,A-3602462,3,2020-03-26 03:05:46,2020-03-26 03:20:46,33.20428,-97.16382,33.20428,-97.16382,0.0,At I-35E (North) - Accident.,0.0,I-35W N,R,Denton,Denton,TX,76207,US,US/Central,KDTO,2020-03-26 02:53:00,71.0,71.0,81.0,29.08,10.0,S,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
885931,A-3609231,2,2020-03-30 21:56:56,2020-03-30 22:41:56,32.66925,-97.23459,32.66925,-97.23459,0.0,At I-820/US-287/US-287-BR/Exit 442A - Accident.,0.0,US-287 N,R,Fort Worth,Tarrant,TX,76119,US,US/Central,KFWS,2020-03-30 21:55:00,55.0,55.0,97.0,29.17,4.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
971223,A-3694550,4,2020-01-20 07:53:24,2020-01-20 08:22:20,29.05387,-95.50666,29.05394,-95.51629,0.582,Closed at FM-521 - Road closed due to accident.,1985.0, Highway 332 W,R,Lake Jackson,Brazoria,TX,77566-3501,US,US/Central,KLBX,2020-01-20 07:53:00,41.0,36.0,76.0,30.54,10.0,N,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
884070,A-3607370,4,2020-03-29 09:44:21,2020-03-29 10:13:33,32.66892,-96.95585,32.66971,-96.93756,1.065,Closed at TX-408-SPUR/Exit 460 - Road closed due to accident.,0.0,I-20 E,R,Dallas,Dallas,TX,75236,US,US/Central,KRBD,2020-03-29 09:53:00,58.0,58.0,51.0,29.43,10.0,NE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
861067,A-3584361,2,2020-03-18 14:46:14,2020-03-18 15:16:14,30.4719,-97.80206,30.4719,-97.80206,0.0,At Pecan Park Blvd - Accident.,0.0,Lakeline Mall Dr,R,Cedar Park,Williamson,TX,78613,US,US/Central,KRYW,2020-03-18 14:55:00,78.0,78.0,65.0,28.66,10.0,S,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
863746,A-3587040,3,2020-03-19 15:12:00,2020-03-19 15:42:00,32.84392,-96.63466,32.84392,-96.63466,0.0,At I-635/Lyndon B Johnson Fwy - Accident. Right lane blocked.,0.0,LBJ Fwy N,R,Garland,Dallas,TX,75043,US,US/Central,KHQZ,2020-03-19 14:50:00,75.0,75.0,83.0,29.43,6.0,SSE,12.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
